"respond","gift","resplast","weekslast","propresp","mailsyear","giftlast","avggift"
0,0,0,143,0.300000011920929,2.5,10,10
0,0,0,65.4285736083984,0.300000011920929,2.5,10,10
0,0,1,13.1428575515747,0.300000011920929,2.5,10,10
0,0,0,120.142860412598,0.300000011920929,2.5,10,10
1,10,0,103.857139587402,0.200000002980232,2.5,10,10
0,0,0,129.142852783203,0.300000011920929,2.5,10,10
0,0,0,143,0.300000011920929,2.5,10,10
0,0,0,103.857139587402,0.5,2.5,5,6
0,0,1,13.1428575515747,0.300000011920929,2.5,10,10
1,5,0,51.2857131958008,0.5,2.5,5,5
0,0,0,103.857139587402,0.300000011920929,2.5,10,10
0,0,0,103.857139587402,0.300000011920929,2.5,10,10
0,0,0,26.1428565979004,0.222222000360489,2.25,10,10
1,10,0,51.2857131958008,0.222222000360489,2.25,10,10
0,0,0,26.1428565979004,0.333332985639572,2.25,10,10
0,0,0,158,0.222222000360489,2.25,5,7.5
0,0,0,26.1428565979004,0.300000011920929,2.5,10,10
0,0,0,103.857139587402,0.300000011920929,2.5,10,10
0,0,0,103.857139587402,0.400000005960464,2.5,10,8.75
1,2,0,26.1428565979004,0.666666984558105,2.25,5,5
1,3,1,13.1428575515747,1,2.25,3,3
0,0,0,103.857139587402,0.333332985639572,2.25,10,10
0,0,1,13.1428575515747,0.222222000360489,2.25,10,17.5
0,0,0,77.1428604125977,0.222222000360489,2.25,10,17.5
0,0,1,13.1428575515747,0.555555999279022,2.25,5,5
1,5,1,13.1428575515747,0.666666984558105,2.25,5,5
0,0,1,13.1428575515747,0.333332985639572,2.25,10,11.6666669845581
1,10,0,129.142852783203,0.222222000360489,2.25,10,10
0,0,0,51.2857131958008,0.5,2.5,10,6.80000257492065
0,0,0,65.4285736083984,0.200000002980232,2.5,15,15
0,0,0,26.1428565979004,0.600000023841858,2.5,7,5.33333349227905
0,0,0,103.857139587402,0.222222000360489,2.25,15,15
0,0,0,120.142860412598,0.222222000360489,2.25,10,15
0,0,0,103.857139587402,0.300000011920929,2.5,10,10
0,0,0,143,0.200000002980232,2.5,15,15
0,0,0,26.1428565979004,0.666666984558105,2.25,5,5
0,0,0,65.4285736083984,0.300000011920929,2.5,10,10
0,0,0,103.857139587402,0.400000005960464,2.5,5,5
0,0,0,26.1428565979004,0.333332985639572,2.25,10,8.33333301544189
0,0,0,103.857139587402,0.200000002980232,2.5,10,10
0,0,0,129.142852783203,0.100000001490116,2.5,25,25
0,0,0,103.857139587402,0.200000002980232,2.5,15,12.5
0,0,0,51.2857131958008,0.200000002980232,2.5,15,12.5
0,0,0,143,0.100000001490116,2.5,25,25
0,0,0,120.142860412598,0.100000001490116,2.5,25,25
0,0,0,103.857139587402,0.400000005960464,2.5,10,6.25
0,0,1,13.1428575515747,0.666666984558105,2.25,5,5
0,0,1,13.1428575515747,0.5,2.5,5,5
0,0,0,120.142860412598,0.100000001490116,2.5,25,25
0,0,0,26.1428565979004,0.300000011920929,2.5,5,6.66666650772095
0,0,0,51.2857131958008,0.400000005960464,2.5,5,5
0,0,0,103.857139587402,0.200000002980232,2.5,10,10
0,0,0,51.2857131958008,0.200000002980232,2.5,10,10
0,0,0,120.142860412598,0.200000002980232,2.5,10,10
0,0,0,120.142860412598,0.100000001490116,2.5,25,25
0,0,0,129.142852783203,0.200000002980232,2.5,15,12.5
0,0,0,158,0.200000002980232,2.5,10,15
0,0,0,77.1428604125977,0.600000023841858,2.5,5,5
0,0,0,143,0.222222000360489,2.25,15,15
0,0,1,13.1428575515747,0.300000011920929,2.5,10,11.6666669845581
